movie_id,title,status,year,revenue,budget,budget to rev ,popularity,Genre,production_countries,Genre (raw)
4520093,The Amazing Spider-Man,Released,2012,757930663,215000000,3.52525889767442,78.989,Action,United States of America,"Action, Adventure, Fantasy"
4559663,Til There Was You,Released,1997,3525125,1000000,3.525125,3.658,Comedy,United States of America,"Comedy, Romance"
4524259,The Prodigy,Released,2019,21150265,6000000,3.52504416666667,13.448,Horror,"Canada, United States of America","Horror, Thriller"
4525102,The Wind That Shakes the Barley,Released,2006,22889018,6500000,3.52138738461538,13.024,Drama,"Belgium, France, Germany, Ireland, Italy, Spain, Switzerland, United Kingdom","Drama, War"
4555166,Raising Victor Vargas,Released,2002,2816116,800000,3.520145,3.578,Drama,United States of America,"Drama, Romance"
4571446,Sunday Holiday,Released,2017,2200000,625000,3.52,3.368,Comedy,India,"Comedy, Romance"
4535595,Neighbors,Released,1981,29916207,8500000,3.51955376470588,8.524,Comedy,United States of America,Comedy
4523994,Breakthrough,Released,2019,49231674,14000000,3.51654814285714,29.215,Drama,United States of America,Drama
4532333,A Stroke of Luck,Released,2016,12304617,3500000,3.51560485714286,6.102,Romance,Spain,"Romance, Drama, Comedy"
4520403,The Hangover Part III,Released,2013,362000072,103000000,3.51456380582524,48.629,Comedy,United States of America,Comedy
4520411,Minority Report,Released,2002,358372926,102000000,3.51346005882353,30.06,Action,United States of America,"Action, Thriller, Science Fiction, Mystery"
4520112,Dunkirk,Released,2017,527000000,150000000,3.51333333333333,34.529,War,"France, Netherlands, United Kingdom, United States of America","War, Action, Drama"
4541092,High Security Vacation,Released,2009,17566040,5000000,3.513208,3.635,Comedy,Russia,"Comedy, Drama, Adventure"
4521494,Horton Hears a Who!,Released,2008,298572799,85000000,3.51262116470588,32.669,Animation,United States of America,"Animation, Comedy, Family, Adventure, Fantasy"
4521912,Jobs,Released,2013,42100000,12000000,3.50833333333333,21.526,Drama,United States of America,"Drama, History"
4566800,Jism 2,Released,2012,7040609,2006871,3.5082519005955,4.962,Thriller,India,Thriller
4704436,Women Of Warriors V,Released,2018,23412,6675,3.50741573033708,0.6,Action,United States of America,"Action, Drama"
4532888,Heartburn,Released,1986,52600000,15000000,3.50666666666667,9.396,Comedy,United States of America,"Comedy, Drama, Romance"
4521433,Forgetting Sarah Marshall,Released,2008,105173115,30000000,3.5057705,22.661,Comedy,United States of America,"Comedy, Romance, Drama"
4521621,The Father,Released,2020,21029340,6000000,3.50489,51.482,Drama,"France, United Kingdom, United States of America",Drama
4522360,Hostel: Part II,Released,2007,35728183,10200000,3.50276303921569,19.122,Horror,"Czech Republic, United States of America",Horror
4521327,Remember Me,Released,2010,56032889,16000000,3.5020555625,18.789,Drama,United States of America,"Drama, Romance"
4523198,Sisters,Released,2015,105011053,30000000,3.50036843333333,12.991,Comedy,United States of America,Comedy
4521018,Robots,Released,2005,262511490,75000000,3.5001532,32.543,Animation,United States of America,"Animation, Comedy, Family, Science Fiction"
4521915,Wild,Released,2014,52501541,15000000,3.50010273333333,13.391,Drama,United States of America,Drama
4544083,Yuppies 2,Released,1986,6025330,1721522,3.50000174264401,4.5,Comedy,Italy,Comedy
4520652,Batman Returns,Released,1992,280000000,80000000,3.5,29.261,Action,United States of America,"Action, Fantasy"
4523077,To Catch a Thief,Released,1955,8750000,2500000,3.5,16.206,Mystery,United States of America,"Mystery, Thriller, Romance, Comedy, Crime"
4525561,The Manchurian Candidate,Released,1962,7700000,2200000,3.5,17.928,Thriller,United States of America,"Thriller, Drama"
4592297,After Office Hours,Released,1935,1281000,366000,3.5,1.411,Crime,United States of America,"Crime, Drama, Romance"
4522281,My Girl,Released,1991,59490000,17000000,3.49941176470588,27.279,Comedy,United States of America,"Comedy, Drama"
4521213,Final Destination 2,Released,2003,90941129,26000000,3.49773573076923,38.853,Horror,United States of America,"Horror, Mystery"
4520401,The Equalizer,Released,2014,192330738,55000000,3.49692250909091,186.613,Thriller,United States of America,"Thriller, Action, Crime"
4520929,The Mule,Released,2018,174804407,50000000,3.49608814,16.833,Crime,"Canada, United States of America","Crime, Drama"
4520085,Batman v Superman: Dawn of Justice,Released,2016,873637528,250000000,3.494550112,78.589,Action,"Canada, United Kingdom, United States of America","Action, Adventure, Fantasy"
4521047,Pain & Gain,Released,2013,87305549,25000000,3.49222196,72.596,Action,United States of America,"Action, Crime, Comedy"
4637188,The Divine Woman,Released,1928,931000,266817,3.48928291675568,0.869,Drama,United States of America,Drama
4523164,What Men Want,Released,2019,69766483,20000000,3.48832415,20.88,Comedy,United States of America,"Comedy, Romance"
4533360,Conquest 1453,Released,2012,9001826,2581561,3.48697009290116,10.153,Adventure,Turkey,"Adventure, Drama, Action, War"
4541770,Jesus Revolution,Released,2023,52300000,15000000,3.48666666666667,25.539,Drama,United States of America,"Drama, History"
4520771,Live Free or Die Hard,Released,2007,383531464,110000000,3.48664967272727,33.523,Action,"United Kingdom, United States of America","Action, Thriller"
4521996,Safe Haven,Released,2013,97594140,28000000,3.485505,15.601,Romance,United States of America,"Romance, Thriller"
4526092,Earth to Echo,Released,2014,45300000,13000000,3.48461538461538,9.919,Family,United States of America,"Family, Adventure, Science Fiction"
4526330,El Angel,Released,2018,10452324,3000000,3.484108,8.898,Drama,"Argentina, Spain","Drama, Crime"
4521144,Anchorman: The Legend of Ron Burgundy,Released,2004,90574188,26000000,3.48362261538462,16.584,Comedy,United States of America,Comedy
4523118,Clear and Present Danger,Released,1994,215887717,62000000,3.4820599516129,26.538,Action,United States of America,"Action, Drama, Thriller"
4521404,Point Break,Released,1991,83531958,24000000,3.48049825,32.136,Action,"Japan, United States of America","Action, Thriller, Crime"
4523673,Honey,Released,2003,62646763,18000000,3.48037572222222,15.043,Music,United States of America,"Music, Drama, Romance"
4523386,An Education,Released,2009,26096852,7500000,3.47958026666667,13.428,Drama,United Kingdom,"Drama, Romance"
4525346,Casino Royale,Released,1967,41744718,12000000,3.4787265,20.508,Adventure,United Kingdom,"Adventure, Action, Comedy"
4579247,Luv Shuv Tey Chicken Khurana,Released,2012,1600000,460000,3.47826086956522,4.519,Comedy,India,Comedy
4520677,National Treasure,Released,2004,347512318,100000000,3.47512318,29.091,Adventure,United States of America,"Adventure, Action, Thriller, Mystery"
4521884,Anchorman 2: The Legend Continues,Released,2013,173649015,50000000,3.4729803,19.28,Comedy,United States of America,Comedy
4535610,Christmas in Connecticut,Released,1945,3000000,864000,3.47222222222222,9.506,Comedy,United States of America,"Comedy, Romance"
4520135,Ready Player One,Released,2018,607274134,175000000,3.47013790857143,50.088,Adventure,United States of America,"Adventure, Action, Science Fiction"
4523775,Scanners,Released,1981,14225876,4100000,3.46972585365854,15.524,Science Fiction,Canada,"Science Fiction, Horror"
4522836,The Wedding Ringer,Released,2015,79799880,23000000,3.46956,25.863,Comedy,United States of America,Comedy
4522593,Pain and Glory,Released,2019,37359689,10769016,3.46918316399567,12.452,Drama,Spain,Drama
4525381,Batman: Gotham by Gaslight,Released,2018,3469151,1000000,3.469151,11.864,Thriller,United States of America,"Thriller, Action, Animation, Science Fiction"
4520164,Spider-Man 3,Released,2007,894983373,258000000,3.46892780232558,61.149,Fantasy,United States of America,"Fantasy, Action, Adventure"
4534825,Elmer Gantry,Released,1960,10400000,3000000,3.46666666666667,9.567,Drama,United States of America,Drama
4520716,Bumblebee,Released,2018,467989645,135000000,3.46658996296296,30.511,Action,United States of America,"Action, Adventure, Science Fiction"
4522175,Piranha 3D,Released,2010,83188165,24000000,3.46617354166667,37.262,Comedy,United States of America,"Comedy, Horror"
4526352,Ashfall,Released,2019,61321941,17700000,3.46451644067797,27.989,Action,South Korea,"Action, Adventure, Thriller"
4526663,The Secret Life of Bees,Released,2008,38105395,11000000,3.46412681818182,12.793,Family,United States of America,"Family, Adventure, Drama"
4524354,Diary of a Wimpy Kid: Dog Days,Released,2012,76196538,22000000,3.463479,20.393,Comedy,United States of America,"Comedy, Family"
4520772,Jason Bourne,Released,2016,415484914,120000000,3.46237428333333,28.778,Action,"China, United States of America","Action, Thriller, Mystery, Drama"
4520351,The Wolverine,Released,2013,415440673,120000000,3.46200560833333,7.797,Action,United States of America,"Action, Science Fiction, Adventure, Fantasy"
4537181,The Gay Divorcee,Released,1934,1800000,520000,3.46153846153846,8.088,Comedy,United States of America,"Comedy, Romance"
4520229,Pirates of the Caribbean: Dead Men Tell No Tales,Released,2017,795922298,230000000,3.46053173043478,62.006,Adventure,United States of America,"Adventure, Action, Fantasy"
